,property_type,sector,price,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
887,flat,sector 67a,1.6,3.0,3.0,2,3.0,New Property,1346.0,0.0,0.0,1.0,0.0,0.0,1.0,142.0
888,flat,sector 111,2.35,3.0,3.0,3+,5.0,Under Construction,1615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
889,flat,sector 109,1.45,3.0,4.0,3+,4.0,Relatively New,1797.0,0.0,1.0,0.0,0.0,0.0,0.0,71.0
890,house,sector 4,2.35,4.0,4.0,2,2.0,Old Property,1440.0,0.0,0.0,0.0,1.0,0.0,0.0,43.0
891,flat,sector 89,1.2,3.0,3.0,2,3.0,New Property,1423.0,1.0,0.0,0.0,0.0,1.0,0.0,37.0
892,house,sector 45,16.0,6.0,7.0,3+,3.0,Relatively New,4500.0,1.0,1.0,1.0,1.0,0.0,1.0,105.0
893,flat,sector 99,0.3,2.0,1.0,0,12.0,New Property,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
894,flat,sector 83,1.3,3.0,3.0,1,6.0,Relatively New,2588.0,0.0,0.0,0.0,0.0,0.0,1.0,79.0
895,flat,sector 99,0.4,2.0,2.0,2,9.0,New Property,733.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
896,flat,sector 112,0.7,2.0,2.0,2,4.0,Relatively New,1498.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0
897,house,sector 3,0.55,1.0,1.0,0,1.0,Moderately Old,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
898,house,sector 7,2.0,2.0,2.0,2,2.0,Old Property,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
899,house,sector 4,0.8,2.0,3.0,1,2.0,Moderately Old,675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,flat,sector 2,0.2,1.0,1.0,1,1.0,Moderately Old,556.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
901,house,sector 109,6.0,4.0,5.0,3,2.0,Moderately Old,6228.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0
902,flat,sector 85,0.88,3.0,3.0,1,1.0,Relatively New,1344.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0
903,flat,sector 102,1.4,3.0,3.0,3,7.0,Relatively New,1315.0,0.0,1.0,0.0,0.0,0.0,0.0,67.0
904,flat,sector 108,3.35,3.0,4.0,2,19.0,New Property,2525.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0
905,flat,sector 102,1.76,3.0,3.0,3,1.0,Relatively New,1531.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
906,flat,sector 99,0.85,2.0,2.0,2,3.0,New Property,1133.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0
907,flat,sector 4,0.42,2.0,2.0,1,3.0,Relatively New,833.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0
908,house,sector 7,1.55,2.0,2.0,2,1.0,Moderately Old,1080.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0
909,flat,sector 86,0.78,2.0,2.0,1,8.0,New Property,1231.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0
910,flat,sector 33,1.1,2.0,2.0,2,4.0,Under Construction,1275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
911,flat,sector 69,1.42,3.0,3.0,2,8.0,Relatively New,1428.0,0.0,0.0,0.0,1.0,0.0,1.0,94.0
912,flat,sector 108,0.7,2.0,2.0,2,12.0,Moderately Old,1362.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0
913,flat,sector 38,2.1,4.0,4.0,3+,10.0,Old Property,1954.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0
914,house,sector 50,7.5,3.0,3.0,2,2.0,Moderately Old,2160.0,0.0,1.0,0.0,0.0,0.0,1.0,66.0
915,flat,sector 92,0.95,4.0,3.0,2,17.0,New Property,1983.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
916,flat,sector 33,3.25,4.0,4.0,3+,17.0,Old Property,4809.0,0.0,1.0,0.0,0.0,0.0,1.0,130.0
917,flat,sector 56,1.7,3.0,3.0,3,4.0,Moderately Old,2200.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0
918,flat,sector 88a,1.19,2.0,2.0,3,15.0,Relatively New,1387.0,1.0,0.0,0.0,1.0,0.0,1.0,174.0
919,house,sector 23,1.2,3.0,2.0,2,3.0,New Property,1500.0,0.0,0.0,0.0,0.0,0.0,1.0,79.0
920,flat,sector 102,1.4,2.0,2.0,2,11.0,New Property,1166.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0
921,flat,sector 48,1.76,3.0,3.0,3+,9.0,Moderately Old,1576.0,0.0,1.0,0.0,1.0,0.0,1.0,158.0
922,flat,sector 86,1.45,3.0,2.0,3,8.0,Relatively New,1480.0,0.0,0.0,0.0,0.0,0.0,2.0,72.0
